strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,sector,edge,kelly_frac,quarter
E4,0x7d1474f2b4dd9b63a7555b80dacf07c7194cd43aaf358a353b0b087fe3f6bfcc,2026-02-11T14:00:00+00:00,YES,0.71,22.459352037903408,0,-22.459352037903408,Other,0.06910131896685556,0.2382804102305364,2026Q1
E4,0x9d4bea80fd14e4fa6a4c47b325428c6f9efe00fbba201213742b53231186c683,2026-02-11T14:00:00+00:00,YES,0.755,22.459352037903408,1,7.288134105015013,Other,0.05538079803298246,0.22604407360401005,2026Q1
E4,0x93424933a0a7e9f430ebebbc630ee1034a5ed5346cd6b803f6fbe368474cb766,2026-02-12T14:00:00+00:00,YES,0.7,22.459352037903408,1,9.62543658767289,Other,0.07041447359591624,0.23471491198638741,2026Q1
E4,0xf8ddcf99974af0b8bd2fc0a2defb60ed2105e82f183b897379f1431a58b65e28,2026-02-12T14:00:00+00:00,YES,0.765,22.459352037903408,1,6.899278077003007,Other,0.057627087350103134,0.24522164829831122,2026Q1
E4,0x53cbece70bb113aea1dc4b834e54d9747ffaaf4f16319f273d61b640e5bacf60,2026-02-12T22:00:00+00:00,YES,0.745,22.459352037903408,1,7.687429221027341,Other,0.06262958206063363,0.24560620415934756,2026Q1
E4,0xbdbe413591a2e4c725cd9bb310bc3d9c948e23591b3b03e5eb9efc482e4f1d34,2026-02-12T22:00:00+00:00,YES,0.695,22.459352037903408,0,-22.459352037903408,Other,0.0709820751522604,0.23272811525331277,2026Q1
E4,0x129079c6f09b11e0c6d57162f3d396251baec4a01d38a94ccf04506fda7b604b,2026-02-12T22:00:00+00:00,NO,0.6,22.459352037903408,1,-22.459352037903408,AutoEV,-0.17857960414413732,0.2976326735735622,2026Q1
E4,0x7200d6e5d29bb5b6e1b7a4eeac679b928d4f4c8392e8856eb33c475a87ca156c,2026-02-17T22:00:00+00:00,YES,0.71,8.872223711455876,1,3.62386602298902,Other,0.06354869315270628,0.2191334246645044,2026Q1
E4,0x7e16e9f7a0935b824ee25ff3220f94f2dfbdcade8986459ac007d7da2987bc14,2026-02-18T14:00:00+00:00,YES,0.69,22.459352037903408,1,10.090433524275447,Other,0.07149059639682653,0.23061482708653716,2026Q1
E4,0xe091e96fd31a4aed29e14f79fd6b88830f87e32909fe8dcf2dcb2e4f4157ded2,2026-02-18T14:00:00+00:00,YES,0.755,22.459352037903408,1,7.288134105015013,Other,0.06501409123075919,0.2653636376765681,2026Q1
E4,0x4a20448e4cb273e274fb12b15e75f15bc2bf84cede380b0ccc658e2e71c9d271,2026-02-18T22:00:00+00:00,YES,0.685,22.459352037903408,0,-22.459352037903408,Other,0.07777524568195737,0.24690554184748376,2026Q1
E4,0xd7ce4020b83d09f10b671bee2016d4f359054f62eac58289d0e74d97c4c8c324,2026-02-19T14:00:00+00:00,YES,0.89,22.459352037903408,1,2.775874970976825,Staples,0.10812074030733398,0.9829158209757636,2026Q1
E4,0x92ad9cce642cd896dc1743ec4f17817d1ff53614acf0c23b39d044213e9375a5,2026-02-23T14:00:00+00:00,NO,0.425,22.459352037903408,0,16.600390636711218,Consumer,-0.3868032899082142,0.9101253880193276,2026Q1
E4,0x50ee3dc6eb95a801236fa1efddc2d643d2fc5eda6effa401a4e97593e4e80b3f,2026-02-24T22:00:00+00:00,YES,0.735,22.459352037903408,1,8.097589510264493,Other,0.06984806106576535,0.2635775889274164,2026Q1
E4,0x348410b5dd28a7743ec0219a713a0e38392e088273a9aded08783ccca6400e56,2026-02-25T14:00:00+00:00,YES,0.645,22.106163332610414,0,-22.106163332610414,Other,0.07988416633749251,0.22502582066899302,2026Q1
E4,0x98f047e8dbd64ab7ec2b55570ca05ef74379bd99c2518e0f161bafa8385384e3,2026-02-25T22:00:00+00:00,YES,0.735,21.890204711917374,0,-21.890204711917374,Other,0.059606361317191325,0.22492966534789177,2026Q1
E4,0xa932cf6f7a99d2ab04e0833ae79fdc848f9fd417a81e86d8c1aedb3f9b41ee7f,2026-02-25T22:00:00+00:00,YES,0.875,12.068159995665765,1,1.7240228565236806,TechServices,0.08783312228042695,0.7026649782434156,2026Q1
E4,0x7efacba192fadccfa3f6c17c7362f3f89c08cb2e70e146d0618b59e49f1e4ab1,2026-02-26T22:00:00+00:00,YES,0.73,20.085193353431478,1,7.428770144419862,Other,0.06051401626586328,0.22412598616986398,2026Q1
