condition_id,category,liquidity_tier,strategy,side,entry_price,stake,fee,outcome_yes_won,pnl
0x4b8368164e02ff0992c9f8835c0fb4d37bbd9f9f25610c11f65e4085cb1dec2d,earnings,<5K,S2,NO,0.765,50.0,1.0,1,-51.0
0xa4ca111ba1793e73ac6c032d4b730d19bc624fb3b8d53541db13c4924b99eff8,earnings,<5K,S2,NO,0.795,50.0,1.0,1,-51.0
0x25afa79a84eb8b7a89cb8ac46df47b1cc232d4b7a185e315dded78173a5b209b,earnings,<5K,S2,YES,0.3,50.0,1.0,0,-51.0
0x5e01e65c8b1131afd5c0bc6515e9a2b9ad0d3a28a628dfcc8f16c373b21df907,earnings,<5K,S2,NO,0.485,50.0,1.0,0,46.08737864077669
0x73d0bd1bcc5307042d2b6e1a416f0f19914b3aabf1d7f4f7e389b2ad89f56376,earnings,<5K,S2,YES,0.455,50.0,1.0,1,58.89010989010988
0x1a9c4c83572563ad11afaff9c459444e351bef8723548afe655c3e2a9c78dd4e,earnings,<5K,S2,NO,0.81,50.0,1.0,0,212.1578947368422
0xbc0b897a00e93e3c1718638d6302e6594b87f2b6890ba4556da537a53adbe2d6,earnings,<5K,S2,YES,0.315,50.0,1.0,0,-51.0
0x2b4e8012bf177228dcf4ebc18c6a51c4bc7c3423a00e54f5eb3952e352405ea4,earnings,<5K,S2,NO,0.695,50.0,1.0,1,-51.0
0xf30336690af57f64f7e87478c386a8006965f85e38bbb4af104b764150338b22,earnings,<5K,S2,YES,0.275,50.0,1.0,0,-51.0
0x29dd5b95164fc53fcc43b734f93b9c2920ddfbf217cd725c68bc15c2d2377b1f,earnings,<5K,S2,YES,0.165,50.0,1.0,0,-51.0
0x5df82da99ee50977056e0d4c1a13608cf9fbe091259037ba49aaf42a0e3fed46,earnings,<5K,S2,NO,0.94,50.0,1.0,1,-51.0
0x4c65028ff841efda5a53f66258bdd4c8406e5cb2319639621935bd335cb89cde,earnings,<5K,S2,NO,0.91,50.0,1.0,1,-51.0
0x64fa42538ec262554829aabe0d037358b7bfa98d7770d2baf0ec34c275b535a9,earnings,<5K,S2,NO,0.855,50.0,1.0,1,-51.0
0xf67594a31cf5fa5698cdeca867f66094d995411eb8ff2ef562973179230cecf5,earnings,<5K,S2,NO,0.837,50.0,1.0,0,255.74846625766867
0x54b1721f66ca09f94b360b2747922612d2c5ca5b0d6c90d9fceac9546b744c20,earnings,<5K,S2,NO,0.91,50.0,1.0,1,-51.0
0x42abc0d45d1985a2fd9cf9047b9d9da5759005506ede2e63555ec082033aab76,earnings,<5K,S2,YES,0.755,50.0,1.0,1,15.2251655629139
0xa2dc0ae9b6c47b2f474436990e3f42e550246ecc1a61f71ff17723ebaf8f1073,earnings,<5K,S2,YES,0.455,50.0,1.0,1,58.89010989010988
0x4b09f50ce844bdc9e9858bf4d7477a4576cd9d43997261cdf211496673061d2b,earnings,<5K,S2,NO,0.85,50.0,1.0,1,-51.0
0xf6daf876725740bec404f38bb3418b97ab7f86a2213dcb0ceaf0e97c810259cd,earnings,<5K,S2,YES,0.285,50.0,1.0,1,124.43859649122808
0x00a7577d0b55fbbfc5b46d4906c24e205f64ce6e32e3dec1f6a3cdad487ba5f2,earnings,<5K,S2,NO,0.42,50.0,1.0,0,35.20689655172413
0x55160517bc772d8a1808ae6ae2816cf8a72e78f9985c43021d400bf89f3edaf8,earnings,<5K,S2,NO,0.865,50.0,1.0,1,-51.0
0x8ec10f4ee905b6a497ebb8c73b6aabfa6de2009889958184c24ff833efede1cf,earnings,<5K,S2,NO,0.855,50.0,1.0,1,-51.0
0xe83891ec9a85382c39c6bf52bf6f3edc6322c6118f30001f70f2bb394bbf4d95,earnings,<5K,S2,NO,0.89,50.0,1.0,1,-51.0
0xb56646001e1d8a623a45dcafd68e8b589d29b834f436da9d37d1152ecb1ef4e8,earnings,<5K,S2,NO,0.906,50.0,1.0,1,-51.0
0x47bed979a3f9e4b22956f1c8308f1b5b62b94963f7b97502ae1a5c7b9f042566,earnings,<5K,S2,NO,0.94,50.0,1.0,1,-51.0
0x4927b766531927dac85f6cfdc3ea09639dca10622826f0e2e8ea7740a0b814fb,earnings,<5K,S2,NO,0.835,50.0,1.0,1,-51.0
0xa65efcfe126832f7e1d399d5b1ae0853555dc726817c803a6fa1e9750944def5,earnings,<5K,S2,NO,0.885,50.0,1.0,1,-51.0
0xd851aa5c9c195548b35a660a11cc955a2fbfa50fdcecb88c19d22b2f0adefd17,earnings,<5K,S2,YES,0.575,50.0,1.0,0,-51.0
0xa2a6a018db066545fd0519e5168c1f5f2d2281d797b76159af42fefe1115bc41,earnings,<5K,S2,NO,0.905,50.0,1.0,1,-51.0
0xed2268c034c08243833293268ef9629cc2237940ec7545efbf0a3e69307c8b1d,earnings,<5K,S2,YES,0.515,50.0,1.0,0,-51.0
0x10c28ae57be265c367877db2e9cdb66ce03cec87e5aed13bf666f2d7c799be89,earnings,<5K,S2,NO,0.815,50.0,1.0,1,-51.0
0xac11b9769a9b237cf6fe5f3564aab538a48ac7375eb600a74e69db80b0a3eb9e,earnings,<5K,S2,NO,0.87,50.0,1.0,1,-51.0
0xa063152c3d9353f824e6f9d98910cbaca93d3548114e86ea80ec16707a05c51c,earnings,<5K,S2,NO,0.895,50.0,1.0,1,-51.0
0x8195f1681e0eade18cf79431f0b5b5f004d3a6b927a66d852c0ca2361e0188a2,earnings,<5K,S2,YES,0.215,50.0,1.0,1,181.55813953488374
0x2a60f1993776edcaf5479689e51c66148f8e47794f4b60f3244deb8384ff8f66,earnings,<5K,S2,NO,0.83,50.0,1.0,1,-51.0
0x657ec542c3230c69d6c26cdac9391571ba19ac4674a1553e1e0ecd80605720ea,earnings,<5K,S2,NO,0.54,50.0,1.0,0,57.69565217391305
0x2c6c5deeaa153ee443a4b2b4df406d74d5ecee63a394e9ac3d22200558212ac2,earnings,<5K,S2,NO,0.93,50.0,1.0,1,-51.0
0x0e02c9fb7b1dacb8a129bc2d9fd51b529d74d97f8c69598670caf151cb69b631,earnings,<5K,S2,NO,0.94,50.0,1.0,1,-51.0
0x080980e11accdadd452700113263658ea60b535f898927dfe54ecd9c968c2b1d,earnings,<5K,S2,NO,0.885,50.0,1.0,1,-51.0
0xe05e03247fe3c1c3feadf2d77ee9d9bb0828473b114c69644b80242184f8ea99,earnings,<5K,S2,NO,0.835,50.0,1.0,1,-51.0
0xd88085a5d7eb64d9d18fa2e0e05dc35fbd3d778cf9841d82c2843cf87747d3b4,earnings,<5K,S2,NO,0.93,50.0,1.0,0,663.2857142857148
0xff3db55dd6ad4dc3938876a6b18812b121556a314309a9e08c870f99f797818f,earnings,<5K,S3,NO,0.865,50.0,1.0,1,-51.0
0xfea64802bcf719c00c22dfa52660c4818e053f74c75da97b528bca254882ada6,earnings,<5K,S3,NO,0.795,50.0,1.0,1,-51.0
0xcf1e39e8e54392442711030179952dd9029afde35c0868fb510ac28b72da5998,earnings,<5K,S3,NO,0.695,50.0,1.0,1,-51.0
0xccb5380ae6d7c6407ca1bcb0f3f333b4cd342f74f2106cf543752615b56fc532,earnings,<5K,S3,NO,0.655,50.0,1.0,1,-51.0
0xe6ef2b93e7f5482aed7c0d12b22365f3d28ab348208b6c97d053ec5316055275,earnings,<5K,S3,NO,0.59,50.0,1.0,1,-51.0
0xb595bc3b1b4698125fd9c804e6414477890d8f291f33c3d582b401792bb404ed,earnings,<5K,S3,NO,0.825,50.0,1.0,1,-51.0
0xce81dca21240b68c9ec667cb9bd6e12f17387d75b85397233afe278646019569,earnings,<5K,S3,NO,0.75,50.0,1.0,1,-51.0
0xfcf726fe7a0d431c461a8df4367074bf18a43ffa6d018e1b8480adc746a37020,earnings,<5K,S3,NO,0.625,50.0,1.0,0,82.33333333333334
0x7d1474f2b4dd9b63a7555b80dacf07c7194cd43aaf358a353b0b087fe3f6bfcc,earnings,<5K,S3,NO,0.71,50.0,1.0,0,121.41379310344826
0x93424933a0a7e9f430ebebbc630ee1034a5ed5346cd6b803f6fbe368474cb766,earnings,<5K,S3,NO,0.7,50.0,1.0,1,-51.0
0x7200d6e5d29bb5b6e1b7a4eeac679b928d4f4c8392e8856eb33c475a87ca156c,earnings,<5K,S3,NO,0.71,50.0,1.0,1,-51.0
0xcdb1a38de3470c5ba12171a7015866daa072408190bd6c7598ba47609ba99ae5,earnings,<5K,S3,NO,0.64,50.0,1.0,0,87.88888888888889
0xa932cf6f7a99d2ab04e0833ae79fdc848f9fd417a81e86d8c1aedb3f9b41ee7f,earnings,<5K,S3,NO,0.875,50.0,1.0,1,-51.0
0x4b8368164e02ff0992c9f8835c0fb4d37bbd9f9f25610c11f65e4085cb1dec2d,earnings,<5K,S3,NO,0.765,50.0,1.0,1,-51.0
0xa4ca111ba1793e73ac6c032d4b730d19bc624fb3b8d53541db13c4924b99eff8,earnings,<5K,S3,NO,0.795,50.0,1.0,1,-51.0
0x75817b7d53552b67005b06ef9a9377c602155242b2869324e3bd0eacdc92892d,earnings,<5K,S3,NO,0.935,50.0,1.0,1,-51.0
0x20cab10e9552a88c30a2c8eeadaf6e4c6b4f401e8bcbc1d572cf4cbb2218a269,earnings,<5K,S3,NO,0.865,50.0,1.0,1,-51.0
0x3f1b51fa1ded874e0d1fad6ab6d0f49972c4ded3632a18b3e920f005cb9afa8f,earnings,<5K,S3,NO,0.81,50.0,1.0,1,-51.0
0xb819eecb4a37e3e629a590f3f90f9bd8483d8ced0f23985cff1ae8ba799825c8,earnings,<5K,S3,NO,0.58,50.0,1.0,1,-51.0
0x25d6fa1f15039d717043a595712090f65c0cefabed3254adc285086a5f953a68,earnings,<5K,S3,NO,0.775,50.0,1.0,1,-51.0
0x1204dc7352df96e2ebd536331c3c0d99c860442344b6cb952652e1f5ab2d1e0a,earnings,<5K,S3,NO,0.66,50.0,1.0,0,96.05882352941177
0x3c5f263697f146a5a95fca192e4f4dbb17186cece93288ba0ebd7a2eebb15dcf,earnings,<5K,S3,NO,0.875,50.0,1.0,1,-51.0
0xba32ef1ced81ce80a2fe32c674ff54562f99eae779ef62d99af3f73e0d316514,earnings,<5K,S3,NO,0.725,50.0,1.0,0,130.8181818181818
0xaf42a8d372fdcc9803d424e216d793072b7fc33bc3325e7081cb5a9de81b25fa,earnings,<5K,S3,NO,0.885,50.0,1.0,1,-51.0
