ticker,sector,end_date,pm_side,polymarket_implied_p_beat,outcome_beat,stock_return,pm_pnl,hedge_ratio,stock_pnl,pnl
SCHW,Other,2025-10-16 00:00:00+00:00,YES,0.915,1,0.023705961890509584,21.974043715846964,0.0,0.0,21.974043715846964
TFC,Other,2025-10-17 00:00:00+00:00,YES,0.865,1,0.011641400856011515,37.76734104046245,0.0,0.0,37.76734104046245
STT,Other,2025-10-17 00:00:00+00:00,YES,0.875,1,0.009633018610088164,34.4642857142857,0.0,0.0,34.4642857142857
AXP,Other,2025-10-17 13:00:00+00:00,YES,0.91,1,0.04996249201952959,23.475274725274694,0.0,0.0,23.475274725274694
SFBS,Other,2025-10-20 00:00:00+00:00,YES,0.745,0,-0.04920439046567513,-251.25,0.0,0.0,-251.25
EFX,Other,2025-10-21 00:00:00+00:00,YES,0.705,1,0.01643814785202214,103.35992907801419,0.0,0.0,103.35992907801419
OMC,Other,2025-10-21 00:00:00+00:00,YES,0.745,1,0.04785868288815457,84.32046979865774,0.0,0.0,84.32046979865774
LMT,Other,2025-10-21 13:00:00+00:00,YES,0.735,1,-0.014339135889922583,88.88605442176869,0.0,0.0,88.88605442176869
MMM,Other,2025-10-21 13:00:00+00:00,YES,0.875,1,0.124213906245588,34.4642857142857,0.0,0.0,34.4642857142857
GM,AutoEV,2025-10-21 13:00:00+00:00,YES,0.92,1,0.1450838259918132,20.489130434782595,0.0,0.0,20.489130434782595
KO,Staples,2025-10-21 13:00:00+00:00,YES,0.925,1,0.02191695940632747,19.02027027027023,0.0,0.0,19.02027027027023
HAL,Energy,2025-10-21 13:00:00+00:00,NO,0.335,0,0.22227207991272607,124.68984962406013,0.0,0.0,124.68984962406013
NDAQ,Other,2025-10-21 13:00:00+00:00,YES,0.9545,1,0.0025962707181961388,10.667234154007305,0.0,0.0,10.667234154007305
DGX,Other,2025-10-21 13:00:00+00:00,YES,0.8785,1,-0.033138062356569825,33.32598178713717,0.0,0.0,33.32598178713717
NOC,Other,2025-10-21 13:00:00+00:00,YES,0.82,1,0.018906620362628787,53.628048780487795,0.0,0.0,53.628048780487795
PM,Other,2025-10-21 13:00:00+00:00,YES,0.865,1,-0.0022776302855534863,37.76734104046245,0.0,0.0,37.76734104046245
PHM,Other,2025-10-21 13:00:00+00:00,NO,0.325,0,-0.028846861219117028,119.12037037037035,0.0,0.0,119.12037037037035
TXN,Semis,2025-10-21 21:00:00+00:00,YES,0.85,0,-0.02486122305052982,-251.25,0.0,0.0,-251.25
NFLX,BigTech,2025-10-21 21:00:00+00:00,YES,0.835,0,-0.07151310751972102,-251.25,0.0,0.0,-251.25
CB,Other,2025-10-21 21:00:00+00:00,YES,0.885,1,0.05491965672761002,31.235875706214692,0.0,0.0,31.235875706214692
EWBC,Other,2025-10-21 21:00:00+00:00,YES,0.795,1,0.06240875930154703,63.21540880503143,0.0,0.0,63.21540880503143
MAT,Other,2025-10-21 21:00:00+00:00,YES,0.73,0,0.04182512026864089,-251.25,0.0,0.0,-251.25
TSLA,AutoEV,2025-10-22 00:00:00+00:00,YES,0.74,0,0.022011821905884625,-251.25,0.0,0.0,-251.25
KMI,Other,2025-10-22 00:00:00+00:00,NO,0.315,0,-0.041271002696991785,113.71350364963503,0.0,0.0,113.71350364963503
NTRS,Other,2025-10-22 13:00:00+00:00,YES,0.785,1,0.009693971379514974,67.22133757961782,0.0,0.0,67.22133757961782
MCO,Other,2025-10-22 13:00:00+00:00,YES,0.81,1,0.04199218527638725,57.39197530864196,0.0,0.0,57.39197530864196
CME,Other,2025-10-22 13:00:00+00:00,YES,0.775,1,0.005971515274636982,71.33064516129032,0.0,0.0,71.33064516129032
HLT,Other,2025-10-22 13:00:00+00:00,YES,0.875,1,0.028816277261638486,34.4642857142857,0.0,0.0,34.4642857142857
T,Other,2025-10-22 13:00:00+00:00,YES,0.76,0,-0.04555808757214156,-251.25,0.0,0.0,-251.25
CASH,Other,2025-10-22 20:00:00+00:00,NO,0.0615,0,0.004212928099274621,15.132525306339879,0.0,0.0,15.132525306339879
RJF,Banks,2025-10-22 21:00:00+00:00,YES,0.745,1,0.0058826759295323595,84.32046979865774,0.0,0.0,84.32046979865774
WDFC,Other,2025-10-22 21:00:00+00:00,YES,0.805,1,0.04634703959941915,59.3090062111801,0.0,0.0,59.3090062111801
LUV,Industrials,2025-10-22 21:00:00+00:00,YES,0.705,1,-0.03937951439198669,103.35992907801419,0.0,0.0,103.35992907801419
SEIC,Other,2025-10-22 21:00:00+00:00,YES,0.795,1,0.01386310359791156,63.21540880503143,0.0,0.0,63.21540880503143
CHDN,Other,2025-10-22 21:00:00+00:00,YES,0.665,0,0.11565233487737477,-251.25,0.0,0.0,-251.25
ORLY,Other,2025-10-22 21:00:00+00:00,NO,0.355,1,-0.04261812889847236,-251.25,0.0,0.0,-251.25
